 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 12, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/20Mg(p,p)/SRIM files/20Mg_Butane_140Torr.txt

 Ion = Magnesium [12] , Mass = 20.01886 amu

 Target Density =  4.4510E-04 g/cm3 = 6.4564E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  25.00 MeV   9.951E-01  1.094E-03   27.08 mm   807.39 um   593.96 um  
  27.50 MeV   9.584E-01  1.008E-03   29.63 mm   886.23 um   604.57 um  
  30.00 MeV   9.236E-01  9.354E-04   32.29 mm   963.98 um   615.43 um  
  32.50 MeV   8.908E-01  8.729E-04   35.04 mm     1.04 mm   626.59 um  
  35.00 MeV   8.600E-01  8.187E-04   37.90 mm     1.12 mm   638.10 um  
  37.50 MeV   8.312E-01  7.712E-04   40.85 mm     1.20 mm   650.01 um  
  40.00 MeV   8.042E-01  7.292E-04   43.91 mm     1.27 mm   662.34 um  
  45.00 MeV   7.577E-01  6.582E-04   50.31 mm     1.56 mm   688.34 um  
  50.00 MeV   7.109E-01  6.005E-04   57.12 mm     1.84 mm   716.30 um  
  55.00 MeV   6.760E-01  5.526E-04   64.32 mm     2.11 mm   746.34 um  
  60.00 MeV   6.449E-01  5.121E-04   71.89 mm     2.36 mm   778.38 um  
  65.00 MeV   6.171E-01  4.774E-04   79.81 mm     2.62 mm   812.42 um  
  70.00 MeV   5.921E-01  4.474E-04   88.08 mm     2.87 mm   848.45 um  
  80.00 MeV   5.488E-01  3.979E-04  105.62 mm     3.80 mm   926.35 um  
  90.00 MeV   5.125E-01  3.587E-04  124.47 mm     4.64 mm     1.01 mm  
 100.00 MeV   4.816E-01  3.268E-04  144.59 mm     5.45 mm     1.10 mm  
 110.00 MeV   4.549E-01  3.004E-04  165.95 mm     6.24 mm     1.20 mm  
 120.00 MeV   4.314E-01  2.782E-04  188.52 mm     7.01 mm     1.31 mm  
 130.00 MeV   4.105E-01  2.591E-04  212.27 mm     7.78 mm     1.42 mm  
 140.00 MeV   3.918E-01  2.427E-04  237.20 mm     8.55 mm     1.54 mm  
 150.00 MeV   3.748E-01  2.282E-04  263.29 mm     9.31 mm     1.66 mm  
 160.00 MeV   3.594E-01  2.155E-04  290.52 mm    10.08 mm     1.79 mm  
 170.00 MeV   3.453E-01  2.042E-04  318.90 mm    10.86 mm     1.93 mm  
 180.00 MeV   3.322E-01  1.941E-04  348.41 mm    11.64 mm     2.07 mm  
 200.00 MeV   3.090E-01  1.767E-04  410.82 mm    14.62 mm     2.36 mm  
 225.00 MeV   2.842E-01  1.590E-04  495.17 mm    18.88 mm     2.76 mm  
 250.00 MeV   2.630E-01  1.448E-04  586.60 mm    22.90 mm     3.18 mm  
 275.00 MeV   2.448E-01  1.329E-04  685.11 mm    26.82 mm     3.64 mm  
 300.00 MeV   2.289E-01  1.229E-04  790.72 mm    30.71 mm     4.13 mm  
 325.00 MeV   2.149E-01  1.144E-04  903.43 mm    34.62 mm     4.65 mm  
 350.00 MeV   2.026E-01  1.071E-04    1.02 m     38.56 mm     5.20 mm  
