 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 14, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/20Mg(p,p)/actar_triumf/SRIM files/20Mg_Butane_160mbar.txt

 Ion = Magnesium [12] , Mass = 20.01886 amu

 Target Density =  3.8160E-04 g/cm3 = 5.5353E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  32.50 MeV   7.637E-01  7.484E-04   40.87 mm     1.21 mm   730.86 um  
  35.00 MeV   7.373E-01  7.019E-04   44.20 mm     1.30 mm   744.29 um  
  37.50 MeV   7.126E-01  6.612E-04   47.65 mm     1.39 mm   758.17 um  
  40.00 MeV   6.895E-01  6.252E-04   51.21 mm     1.48 mm   772.56 um  
  45.00 MeV   6.496E-01  5.643E-04   58.68 mm     1.82 mm   802.88 um  
  50.00 MeV   6.095E-01  5.148E-04   66.62 mm     2.15 mm   835.50 um  
  55.00 MeV   5.795E-01  4.737E-04   75.03 mm     2.46 mm   870.54 um  
  60.00 MeV   5.529E-01  4.390E-04   83.86 mm     2.76 mm   907.91 um  
  65.00 MeV   5.291E-01  4.093E-04   93.10 mm     3.05 mm   947.61 um  
  70.00 MeV   5.076E-01  3.836E-04  102.74 mm     3.35 mm   989.63 um  
  80.00 MeV   4.705E-01  3.411E-04  123.19 mm     4.43 mm     1.08 mm  
  90.00 MeV   4.394E-01  3.075E-04  145.18 mm     5.42 mm     1.18 mm  
 100.00 MeV   4.129E-01  2.802E-04  168.65 mm     6.36 mm     1.29 mm  
 110.00 MeV   3.900E-01  2.576E-04  193.56 mm     7.28 mm     1.40 mm  
 120.00 MeV   3.698E-01  2.385E-04  219.88 mm     8.18 mm     1.53 mm  
 130.00 MeV   3.519E-01  2.222E-04  247.59 mm     9.07 mm     1.66 mm  
 140.00 MeV   3.359E-01  2.080E-04  276.67 mm     9.97 mm     1.80 mm  
 150.00 MeV   3.213E-01  1.957E-04  307.10 mm    10.86 mm     1.94 mm  
 160.00 MeV   3.081E-01  1.848E-04  338.87 mm    11.76 mm     2.09 mm  
 170.00 MeV   2.960E-01  1.751E-04  371.97 mm    12.67 mm     2.25 mm  
 180.00 MeV   2.848E-01  1.664E-04  406.39 mm    13.58 mm     2.41 mm  
 200.00 MeV   2.649E-01  1.515E-04  479.18 mm    17.05 mm     2.75 mm  
 225.00 MeV   2.436E-01  1.364E-04  577.57 mm    22.03 mm     3.22 mm  
 250.00 MeV   2.255E-01  1.241E-04  684.21 mm    26.71 mm     3.71 mm  
 275.00 MeV   2.099E-01  1.140E-04  799.12 mm    31.28 mm     4.25 mm  
 300.00 MeV   1.962E-01  1.054E-04  922.30 mm    35.83 mm     4.82 mm  
 325.00 MeV   1.842E-01  9.811E-05    1.05 m     40.38 mm     5.43 mm  
 350.00 MeV   1.737E-01  9.179E-05    1.19 m     44.98 mm     6.07 mm  
 375.00 MeV   1.643E-01  8.627E-05    1.34 m     49.63 mm     6.75 mm  
 400.00 MeV   1.559E-01  8.141E-05    1.50 m     54.35 mm     7.46 mm  
 450.00 MeV   1.417E-01  7.322E-05    1.83 m     72.28 mm     8.99 mm  
 500.00 MeV   1.302E-01  6.659E-05    2.20 m     89.13 mm    10.66 mm  
 550.00 MeV   1.208E-01  6.110E-05    2.60 m    105.52 mm    12.46 mm  
 600.00 MeV   1.130E-01  5.648E-05    3.03 m    121.69 mm    14.38 mm  
 650.00 MeV   1.059E-01  5.254E-05    3.49 m    137.84 mm    16.43 mm  
 700.00 MeV   9.976E-02  4.913E-05    3.97 m    154.10 mm    18.60 mm  
 800.00 MeV   8.953E-02  4.354E-05    5.03 m    214.96 mm    23.30 mm  
 900.00 MeV   8.141E-02  3.913E-05    6.20 m    271.52 mm    28.48 mm  
   1.00 GeV   7.480E-02  3.556E-05    7.48 m    326.60 mm    34.12 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  2.6206E+01                keV / (ug/cm2) 
  2.6206E+01                MeV / (mg/cm2) 
  2.6206E+04                keV / (mg/cm2) 
  1.8066E+02                 eV / (1E15 atoms/cm2)
  2.3484E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
