 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 12, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/20Mg(p,p)/SRIM files/20Na_Butane_140Torr.txt

 Ion = Sodium [11] , Mass = 20.00735 amu

 Target Density =  4.4510E-04 g/cm3 = 6.4564E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  50.00 MeV   6.171E-01  5.107E-04   64.03 mm     2.09 mm   738.17 um  
  55.00 MeV   5.858E-01  4.699E-04   72.34 mm     2.40 mm   774.03 um  
  60.00 MeV   5.582E-01  4.354E-04   81.08 mm     2.70 mm   812.32 um  
  65.00 MeV   5.335E-01  4.058E-04   90.24 mm     3.00 mm   853.02 um  
  70.00 MeV   5.113E-01  3.803E-04   99.81 mm     3.29 mm   896.09 um  
  80.00 MeV   4.732E-01  3.381E-04  120.13 mm     4.38 mm   989.12 um  
  90.00 MeV   4.414E-01  3.047E-04  142.00 mm     5.36 mm     1.09 mm  
 100.00 MeV   4.144E-01  2.777E-04  165.38 mm     6.31 mm     1.20 mm  
 110.00 MeV   3.910E-01  2.552E-04  190.21 mm     7.22 mm     1.32 mm  
 120.00 MeV   3.706E-01  2.363E-04  216.47 mm     8.13 mm     1.44 mm  
 130.00 MeV   3.524E-01  2.201E-04  244.13 mm     9.03 mm     1.58 mm  
 140.00 MeV   3.362E-01  2.061E-04  273.18 mm     9.92 mm     1.72 mm  
 150.00 MeV   3.215E-01  1.938E-04  303.58 mm    10.82 mm     1.86 mm  
 160.00 MeV   3.082E-01  1.830E-04  335.34 mm    11.72 mm     2.01 mm  
 170.00 MeV   2.959E-01  1.734E-04  368.44 mm    12.63 mm     2.17 mm  
 180.00 MeV   2.847E-01  1.647E-04  402.88 mm    13.54 mm     2.33 mm  
 200.00 MeV   2.646E-01  1.500E-04  475.73 mm    17.03 mm     2.68 mm  
 225.00 MeV   2.433E-01  1.350E-04  574.25 mm    22.02 mm     3.14 mm  
 250.00 MeV   2.251E-01  1.228E-04  681.07 mm    26.72 mm     3.64 mm  
 275.00 MeV   2.094E-01  1.128E-04  796.20 mm    31.31 mm     4.18 mm  
 300.00 MeV   1.958E-01  1.043E-04  919.62 mm    35.86 mm     4.75 mm  
 325.00 MeV   1.839E-01  9.708E-05    1.05 m     40.43 mm     5.36 mm  
 350.00 MeV   1.734E-01  9.082E-05    1.19 m     45.04 mm     6.00 mm  
 375.00 MeV   1.641E-01  8.536E-05    1.34 m     49.69 mm     6.68 mm  
 400.00 MeV   1.559E-01  8.054E-05    1.50 m     54.41 mm     7.39 mm  
 450.00 MeV   1.420E-01  7.243E-05    1.83 m     72.30 mm     8.92 mm  
 500.00 MeV   1.308E-01  6.586E-05    2.20 m     89.04 mm    10.57 mm  
 550.00 MeV   1.218E-01  6.043E-05    2.59 m    105.24 mm    12.35 mm  
 600.00 MeV   1.145E-01  5.586E-05    3.02 m    121.13 mm    14.25 mm  
 650.00 MeV   1.073E-01  5.195E-05    3.47 m    136.96 mm    16.26 mm  
 700.00 MeV   1.010E-01  4.858E-05    3.95 m    152.94 mm    18.39 mm  
 800.00 MeV   9.063E-02  4.304E-05    4.99 m    212.84 mm    22.99 mm  
 900.00 MeV   8.239E-02  3.868E-05    6.15 m    268.63 mm    28.06 mm  
   1.00 GeV   7.569E-02  3.515E-05    7.42 m    322.99 mm    33.58 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  2.2468E+01                keV / (ug/cm2) 
  2.2468E+01                MeV / (mg/cm2) 
  2.2468E+04                keV / (mg/cm2) 
  1.5489E+02                 eV / (1E15 atoms/cm2)
  2.1501E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
