 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 14, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/20Mg(p,p)/actar_triumf/SRIM files/20Mg_Butane_180Torr.txt

 Ion = Magnesium [12] , Mass = 20.01886 amu

 Target Density =  4.2930E-04 g/cm3 = 6.2272E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  80.00 MeV   5.293E-01  3.837E-04  109.51 mm     3.94 mm   960.44 um  
  90.00 MeV   4.943E-01  3.459E-04  129.05 mm     4.82 mm     1.05 mm  
 100.00 MeV   4.645E-01  3.152E-04  149.91 mm     5.65 mm     1.14 mm  
 110.00 MeV   4.387E-01  2.898E-04  172.05 mm     6.47 mm     1.25 mm  
 120.00 MeV   4.160E-01  2.683E-04  195.45 mm     7.27 mm     1.36 mm  
 130.00 MeV   3.959E-01  2.499E-04  220.08 mm     8.07 mm     1.47 mm  
 140.00 MeV   3.779E-01  2.340E-04  245.93 mm     8.86 mm     1.60 mm  
 150.00 MeV   3.615E-01  2.201E-04  272.98 mm     9.66 mm     1.72 mm  
 160.00 MeV   3.466E-01  2.079E-04  301.21 mm    10.46 mm     1.86 mm  
 170.00 MeV   3.330E-01  1.970E-04  330.64 mm    11.26 mm     2.00 mm  
 180.00 MeV   3.205E-01  1.872E-04  361.24 mm    12.07 mm     2.14 mm  
 200.00 MeV   2.980E-01  1.704E-04  425.94 mm    15.16 mm     2.45 mm  
 225.00 MeV   2.741E-01  1.534E-04  513.40 mm    19.58 mm     2.86 mm  
 250.00 MeV   2.537E-01  1.396E-04  608.19 mm    23.74 mm     3.30 mm  
 275.00 MeV   2.361E-01  1.282E-04  710.32 mm    27.81 mm     3.78 mm  
 300.00 MeV   2.207E-01  1.186E-04  819.82 mm    31.84 mm     4.28 mm  
 325.00 MeV   2.073E-01  1.104E-04  936.68 mm    35.90 mm     4.82 mm  
 350.00 MeV   1.954E-01  1.033E-04    1.06 m     39.98 mm     5.39 mm  
 375.00 MeV   1.848E-01  9.706E-05    1.19 m     44.12 mm     6.00 mm  
 400.00 MeV   1.754E-01  9.159E-05    1.33 m     48.31 mm     6.63 mm  
 450.00 MeV   1.594E-01  8.237E-05    1.63 m     64.25 mm     7.99 mm  
 500.00 MeV   1.465E-01  7.491E-05    1.96 m     79.23 mm     9.47 mm  
 550.00 MeV   1.359E-01  6.874E-05    2.31 m     93.79 mm    11.07 mm  
 600.00 MeV   1.272E-01  6.354E-05    2.69 m    108.17 mm    12.78 mm  
 650.00 MeV   1.192E-01  5.911E-05    3.10 m    122.52 mm    14.60 mm  
 700.00 MeV   1.122E-01  5.528E-05    3.53 m    136.98 mm    16.53 mm  
 800.00 MeV   1.007E-01  4.898E-05    4.47 m    191.07 mm    20.72 mm  
 900.00 MeV   9.159E-02  4.402E-05    5.51 m    241.35 mm    25.32 mm  
   1.00 GeV   8.415E-02  4.000E-05    6.65 m    290.31 mm    30.33 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  2.3295E+01                keV / (ug/cm2) 
  2.3295E+01                MeV / (mg/cm2) 
  2.3295E+04                keV / (mg/cm2) 
  1.6059E+02                 eV / (1E15 atoms/cm2)
  2.0875E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
