 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 14, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/20Mg(p,p)/actar_triumf/SRIM files/20Na_Butane_160mbar.txt

 Ion = Sodium [11] , Mass = 20.00735 amu

 Target Density =  3.8160E-04 g/cm3 = 5.5353E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 180.00 MeV   2.441E-01  1.412E-04  469.92 mm    15.79 mm     2.72 mm  
 200.00 MeV   2.269E-01  1.286E-04  554.90 mm    19.86 mm     3.13 mm  
 225.00 MeV   2.086E-01  1.157E-04  669.81 mm    25.68 mm     3.67 mm  
 250.00 MeV   1.930E-01  1.053E-04  794.40 mm    31.17 mm     4.25 mm  
 275.00 MeV   1.796E-01  9.669E-05  928.69 mm    36.52 mm     4.88 mm  
 300.00 MeV   1.679E-01  8.943E-05    1.07 m     41.83 mm     5.54 mm  
 325.00 MeV   1.577E-01  8.323E-05    1.23 m     47.16 mm     6.25 mm  
 350.00 MeV   1.487E-01  7.786E-05    1.39 m     52.53 mm     7.00 mm  
 375.00 MeV   1.407E-01  7.318E-05    1.56 m     57.96 mm     7.79 mm  
 400.00 MeV   1.336E-01  6.905E-05    1.74 m     63.46 mm     8.62 mm  
 450.00 MeV   1.217E-01  6.210E-05    2.14 m     84.33 mm    10.40 mm  
 500.00 MeV   1.121E-01  5.646E-05    2.56 m    103.85 mm    12.33 mm  
 550.00 MeV   1.044E-01  5.181E-05    3.03 m    122.75 mm    14.41 mm  
 600.00 MeV   9.815E-02  4.789E-05    3.52 m    141.29 mm    16.62 mm  
 650.00 MeV   9.197E-02  4.454E-05    4.05 m    159.75 mm    18.96 mm  
 700.00 MeV   8.659E-02  4.165E-05    4.61 m    178.39 mm    21.45 mm  
 800.00 MeV   7.770E-02  3.690E-05    5.83 m    248.26 mm    26.82 mm  
 900.00 MeV   7.064E-02  3.316E-05    7.18 m    313.33 mm    32.73 mm  
   1.00 GeV   6.489E-02  3.013E-05    8.65 m    376.74 mm    39.16 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  2.6206E+01                keV / (ug/cm2) 
  2.6206E+01                MeV / (mg/cm2) 
  2.6206E+04                keV / (mg/cm2) 
  1.8066E+02                 eV / (1E15 atoms/cm2)
  2.5079E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
